url1_lang,url2_lang,pair_id,link1,link2,ia_link1,ia_link2,Geography,Entities,Time,Narrative,Overall,Style,Tone
de,de,1493185754_1531610527,https://remszeitung.de/2020/1/12/knapper-sieg-des-tsv-alfdorf-lorch-in-bietigheim/,https://remszeitung.de/2020/2/26/adrian-pfahl-haengt-beim-tsv-alfdorf-lorch-noch-eine-saison-dran/,https://web.archive.org/web/remszeitung.de/2020/1/12/knapper-sieg-des-tsv-alfdorf-lorch-in-bietigheim/,https://web.archive.org/web/remszeitung.de/2020/2/26/adrian-pfahl-haengt-beim-tsv-alfdorf-lorch-noch-eine-saison-dran/,1.0,3.0,3.0,4.0,3.0,1.0,1.0
en,en,1486747701_1484320367,https://www.carrollcountycomet.com/articles/taking-an-oath-to-follow-the-law/,https://www.news-reporter.com/articles/where-in-the-world-is-the-news-reporter-319/,https://web.archive.org/web/www.carrollcountycomet.com/articles/taking-an-oath-to-follow-the-law/,https://web.archive.org/web/www.news-reporter.com/articles/where-in-the-world-is-the-news-reporter-319/,3.0,4.0,1.0,4.0,4.0,4.0,4.0
en,en,1483806120_1484422056,http://southtahoenow.com/story/12/31/2019/seeing-clearly-2020-look-forward-new-year-south-lake-tahoe,https://www.philstar.com/opinion/2020/01/02/1981353/editorial-challenges,https://web.archive.org/web/southtahoenow.com/story/12/31/2019/seeing-clearly-2020-look-forward-new-year-south-lake-tahoe,https://web.archive.org/web/www.philstar.com/opinion/2020/01/02/1981353/editorial-challenges,3.5,4.0,1.25,3.25,3.75,2.5,2.25
fr,fr,1559139344_1558394270,http://ici.radio-canada.ca/nouvelle/1687937/deux-retraites-matanais-equateur-covid-19-coronavirus,https://www.lapresse.ca/covid-19/202003/25/01-5266323-loperation-de-rapatriement-est-un-fiasco-denoncent-des-quebecois-coinces-au-perou.php,https://web.archive.org/web/ici.radio-canada.ca/nouvelle/1687937/deux-retraites-matanais-equateur-covid-19-coronavirus,https://web.archive.org/web/www.lapresse.ca/covid-19/202003/25/01-5266323-loperation-de-rapatriement-est-un-fiasco-denoncent-des-quebecois-coinces-au-perou.php,3.0,3.0,1.0,1.0,2.0,1.0,1.0
de,de,1560463241_1539479902,http://www.pressetext.com/news/20200327012,https://www.volksfreund.de/region/trier-trierer-land/kleiderladen-in-st-augustinus-trier_aid-49386417,https://web.archive.org/web/www.pressetext.com/news/20200327012,https://web.archive.org/web/www.volksfreund.de/region/trier-trierer-land/kleiderladen-in-st-augustinus-trier_aid-49386417,4.0,4.0,3.0,4.0,4.0,3.0,2.0
de,de,1484166530_1484238967,https://www.braunschweiger-zeitung.de/politik/article228037347/UN-Generalsekretaer-besorgt-wegen-Lage-in-Nordkorea.html,"https://www.morgenweb.de/mannheimer-morgen_artikel,-politik-streit-flammt-wieder-auf-_arid,1579819.html",https://web.archive.org/web/www.braunschweiger-zeitung.de/politik/article228037347/UN-Generalsekretaer-besorgt-wegen-Lage-in-Nordkorea.html,"https://web.archive.org/web/www.morgenweb.de/mannheimer-morgen_artikel,-politik-streit-flammt-wieder-auf-_arid,1579819.html",1.0,3.0,1.0,2.0,1.0,1.0,2.0
en,en,1484007829_1484052863,https://menafn.com/1099494666/Qatar-Scientific-Study-Show-Amount-of-Plastic-We-Eat-Weekly,https://menafn.com/1099495462/Qatar-Chance-of-scattered-rain-temperature-to-drop-on-Sunday,https://web.archive.org/web/menafn.com/1099494666/Qatar-Scientific-Study-Show-Amount-of-Plastic-We-Eat-Weekly,https://web.archive.org/web/menafn.com/1099495462/Qatar-Chance-of-scattered-rain-temperature-to-drop-on-Sunday,2.0,4.0,1.3333333333333333,3.6666666666666665,4.0,1.6666666666666667,2.3333333333333335
en,en,1547599071_1552360475,http://www.citybeat.com/arts-culture/culture/blog/21122022/citybeats-best-of-cincinnati-celebration-is-postponed-amid-coronavirus-concerns,http://www.citybeat.com/news/blog/21123134/please-consider-donating-to-citybeat-to-support-local-journalism,https://web.archive.org/web/www.citybeat.com/arts-culture/culture/blog/21122022/citybeats-best-of-cincinnati-celebration-is-postponed-amid-coronavirus-concerns,https://web.archive.org/web/www.citybeat.com/news/blog/21123134/please-consider-donating-to-citybeat-to-support-local-journalism,1.0,2.0,1.0,2.0,2.0,1.0,1.0
en,en,1484759945_1484273586,https://knsiradio.com/news/local-news/1-dead-2-injured-downtown-minneapolis-fight-and-stabbing,https://www.twincities.com/2019/12/29/man-dies-after-stabbing-and-car-crash-in-minneapolis-sunday-morning/,https://web.archive.org/web/knsiradio.com/news/local-news/1-dead-2-injured-downtown-minneapolis-fight-and-stabbing,https://web.archive.org/web/www.twincities.com/2019/12/29/man-dies-after-stabbing-and-car-crash-in-minneapolis-sunday-morning/,1.0,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,1.0,1.0
en,en,1484191080_1484191745,https://www.telegram.com/news/20200101/college-town-anna-maria-awarded-30k-for-addiction-recovery-center?rssfeed=true,https://www.wwlp.com/news/local-news/hampden-county/a-new-year-means-a-new-way-to-vote/,https://web.archive.org/web/www.telegram.com/news/20200101/college-town-anna-maria-awarded-30k-for-addiction-recovery-center?rssfeed=true,https://web.archive.org/web/www.wwlp.com/news/local-news/hampden-county/a-new-year-means-a-new-way-to-vote/,2.5,4.0,1.5,4.0,4.0,2.5,1.5
de,de,1611757481_1609681374,https://www.grenchnertagblatt.ch/schweiz/bundesrat-knuepft-soforthilfe-fuer-medien-an-dividendenverbot-137911341,https://www.oltnertagblatt.ch/schweiz/indirekte-pressefoerderung-kommission-will-hoehe-der-gelder-an-druckauflage-knuepfen-137892361,https://web.archive.org/web/www.grenchnertagblatt.ch/schweiz/bundesrat-knuepft-soforthilfe-fuer-medien-an-dividendenverbot-137911341,https://web.archive.org/web/www.oltnertagblatt.ch/schweiz/indirekte-pressefoerderung-kommission-will-hoehe-der-gelder-an-druckauflage-knuepfen-137892361,1.0,1.0,1.0,2.0,2.0,1.0,1.0
en,en,1559851360_1553590552,https://www.4029tv.com/article/distilleries-producing-hand-sanitizer-to-help-with-coronavirus-pandemic/31943056,https://www.wxii12.com/article/triad-distillery-using-its-facility-to-make-hand-sanitizer-instead-of-whiskey-rum/31795087,https://web.archive.org/web/www.4029tv.com/article/distilleries-producing-hand-sanitizer-to-help-with-coronavirus-pandemic/31943056,https://web.archive.org/web/www.wxii12.com/article/triad-distillery-using-its-facility-to-make-hand-sanitizer-instead-of-whiskey-rum/31795087,2.0,2.0,1.0,1.0,1.0,1.0,1.0
pl,pl,1483831806_1483962945,"https://fakty.interia.pl/swiat/news-ile-polacy-zaplaca-w-nowym-roku-za-wywoz-smieci,nId,4238374",https://pomorska.pl/mamy-pierwsza-prognoze-pogody-na-2020-rok-co-nas-czeka-jaka-bedzie-zima-i-lato-1012020-r/ar/c15-14688537,"https://web.archive.org/web/fakty.interia.pl/swiat/news-ile-polacy-zaplaca-w-nowym-roku-za-wywoz-smieci,nId,4238374",https://web.archive.org/web/pomorska.pl/mamy-pierwsza-prognoze-pogody-na-2020-rok-co-nas-czeka-jaka-bedzie-zima-i-lato-1012020-r/ar/c15-14688537,1.0,4.0,1.0,4.0,4.0,2.0,1.0
ar,ar,1579142209_1566520719,https://akhbarelyom.com/news/newdetails/3033171/1/-مستقبل-وطن-أسوان--ينظم-حملة-لتعقيم-الحافلات-السياحيةللوقاية-من-كورونا,https://www.wataninet.com/2020/04/%d9%85%d8%ad%d8%a7%d9%81%d8%b8-%d8%a3%d8%b3%d9%88%d8%a7%d9%86-%d9%8a%d8%b4%d9%8a%d8%af-%d8%a8%d8%ad%d9%85%d9%84%d8%a7%d8%aa-%d9%85%d8%b3%d8%aa%d9%82%d8%a8%d9%84-%d9%88%d8%b7%d9%86-%d9%84%d9%84/,https://web.archive.org/web/akhbarelyom.com/news/newdetails/3033171/1/-مستقبل-وطن-أسوان--ينظم-حملة-لتعقيم-الحافلات-السياحيةللوقاية-من-كورونا,https://web.archive.org/web/www.wataninet.com/2020/04/%d9%85%d8%ad%d8%a7%d9%81%d8%b8-%d8%a3%d8%b3%d9%88%d8%a7%d9%86-%d9%8a%d8%b4%d9%8a%d8%af-%d8%a8%d8%ad%d9%85%d9%84%d8%a7%d8%aa-%d9%85%d8%b3%d8%aa%d9%82%d8%a8%d9%84-%d9%88%d8%b7%d9%86-%d9%84%d9%84/,1.0,2.0,2.0,1.0,2.0,1.0,1.0
de,de,1581671791_1581619416,https://www.focus.de/digital/internet/wikipedia-sperre-heilmann-kapituliert_aid_348972.html,https://www.focus.de/digital/internet/wikipedia-einstiegsseite-wegen-klage-blockiert_aid_348743.html,https://web.archive.org/web/www.focus.de/digital/internet/wikipedia-sperre-heilmann-kapituliert_aid_348972.html,https://web.archive.org/web/www.focus.de/digital/internet/wikipedia-einstiegsseite-wegen-klage-blockiert_aid_348743.html,1.0,1.0,1.0,3.0,2.0,1.0,2.0
de,de,1483973140_1484232735,https://www.bielertagblatt.ch/nachrichten/schweiz/sommaruga-lobt-ihre-baeckerei-als-vorbild,https://www.dzonline.de/NRW/4082717-Kirche-Praeses-Aus-dem-Glauben-heraus-fuer-die-Erde-aktiv-werden?utm_source=RSS,https://web.archive.org/web/www.bielertagblatt.ch/nachrichten/schweiz/sommaruga-lobt-ihre-baeckerei-als-vorbild,https://web.archive.org/web/www.dzonline.de/NRW/4082717-Kirche-Praeses-Aus-dem-Glauben-heraus-fuer-die-Erde-aktiv-werden?utm_source=RSS,3.0,4.0,1.0,3.0,3.0,1.0,2.0
en,en,1484183368_1484159308,https://www.stuff.co.nz/life-style/life/118554872/kiwi-group-make-give-live-overwhelmed-by-orders-after-archie-wears-their-hat.html,http://feeds.mashable.com/~r/Mashable/~3/PnZudZ51GNk/,https://web.archive.org/web/www.stuff.co.nz/life-style/life/118554872/kiwi-group-make-give-live-overwhelmed-by-orders-after-archie-wears-their-hat.html,https://web.archive.org/web/feeds.mashable.com/~r/Mashable/~3/PnZudZ51GNk/,1.0,1.5,1.0,1.5,1.5,1.5,1.0
en,en,1484011646_1484030131,https://www.wsj.com/articles/the-world-according-to-david-hockney-11568032509,https://iotwreport.com/uber-postmates-sue-california-to-stop-gig-worker-law/,https://web.archive.org/web/www.wsj.com/articles/the-world-according-to-david-hockney-11568032509,https://web.archive.org/web/iotwreport.com/uber-postmates-sue-california-to-stop-gig-worker-law/,2.6666666666666665,4.0,3.6666666666666665,4.0,4.0,3.3333333333333335,2.6666666666666665
en,en,1484035429_1484146010,https://www.freerepublic.com/focus/f-religion/3804763/posts,https://www.kjrh.com/lifestyle/single-mother-in-michigan-gets-2-020-tip-on-23-bill-ahead-of-new-year,https://web.archive.org/web/www.freerepublic.com/focus/f-religion/3804763/posts,https://web.archive.org/web/www.kjrh.com/lifestyle/single-mother-in-michigan-gets-2-020-tip-on-23-bill-ahead-of-new-year,4.0,4.0,2.0,4.0,4.0,2.3333333333333335,2.6666666666666665
tr,tr,1568770371_1590941360,https://www.sondakika.com/haber-biz-bize-yeteriz-turkiyem-kampanyasina-destekler-13088183/,https://www.internethaber.com/bakan-zehra-zumrut-selcuktan-elektrik-tuketim-destegi-aciklamasi-2098757h.htm,https://web.archive.org/web/www.sondakika.com/haber-biz-bize-yeteriz-turkiyem-kampanyasina-destekler-13088183/,https://web.archive.org/web/www.internethaber.com/bakan-zehra-zumrut-selcuktan-elektrik-tuketim-destegi-aciklamasi-2098757h.htm,1.0,2.0,3.0,3.0,3.0,2.0,1.0
de,de,1483981349_1483936480,https://www.salzburg24.at/news/salzburg/das-bringt-2020-die-event-highlights-im-neuen-jahr-80893054,https://www.pnp.de/lokales/landkreis_altoetting/burghausen/3561112_Kopfkissen-Betrueger-wirtschaftet-in-die-eigene-Kasse.html,https://web.archive.org/web/www.salzburg24.at/news/salzburg/das-bringt-2020-die-event-highlights-im-neuen-jahr-80893054,https://web.archive.org/web/www.pnp.de/lokales/landkreis_altoetting/burghausen/3561112_Kopfkissen-Betrueger-wirtschaftet-in-die-eigene-Kasse.html,3.0,4.0,2.5,4.0,4.0,3.5,3.0
pl,pl,1550670791_1551041691,https://www.magnapolonia.org/grozil-ludziom-w-kolejce-ze-pozaraza-ich-koronawirusem-zostal-ukarany-mandatem/,https://www.magnapolonia.org/liczba-ofiar-smiertelnych-koronawirusa-we-francji-wzrosla-do-175/,https://web.archive.org/web/www.magnapolonia.org/grozil-ludziom-w-kolejce-ze-pozaraza-ich-koronawirusem-zostal-ukarany-mandatem/,https://web.archive.org/web/www.magnapolonia.org/liczba-ofiar-smiertelnych-koronawirusa-we-francji-wzrosla-do-175/,4.0,4.0,1.0,4.0,4.0,1.0,1.0
de,en,1548342404_1549318474,https://www.hoefner.ch/2020/03/14/curling-betrieb-auf-hoechstem-niveau-eingestellt/,https://www.glasgowtimes.co.uk/news/18306637.coronavirus-glasgow-taxis-introduce-strict-cleaning-process-hires/?ref=rss,https://web.archive.org/web/www.hoefner.ch/2020/03/14/curling-betrieb-auf-hoechstem-niveau-eingestellt/,https://web.archive.org/web/www.glasgowtimes.co.uk/news/18306637.coronavirus-glasgow-taxis-introduce-strict-cleaning-process-hires/?ref=rss,4.0,4.0,1.0,4.0,4.0,2.0,2.0
es,es,1624411855_1644638821,https://www.estadiodeportivo.com/noticias-futbol/getafe/2020/06/03/apelacion-confirma-sancion-partido-jaime/281068.html?utm_source=rss,https://www.estadiodeportivo.com/noticias-futbol/getafe/2020/06/25/desestimado-recurso-getafe-partido-djene/284060.html?utm_source=rss,https://web.archive.org/web/www.estadiodeportivo.com/noticias-futbol/getafe/2020/06/03/apelacion-confirma-sancion-partido-jaime/281068.html?utm_source=rss,https://web.archive.org/web/www.estadiodeportivo.com/noticias-futbol/getafe/2020/06/25/desestimado-recurso-getafe-partido-djene/284060.html?utm_source=rss,3.0,2.0,2.0,1.0,2.0,1.0,2.0
en,en,1484012104_1483852024,https://dailydodge.com/across-the-globe-revelers-ring-in-new-decade/,https://www.artforum.com/print/reviews/202001/hannah-wilke-81696,https://web.archive.org/web/dailydodge.com/across-the-globe-revelers-ring-in-new-decade/,https://web.archive.org/web/www.artforum.com/print/reviews/202001/hannah-wilke-81696,3.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,4.0,2.0,3.0
es,es,1518207005_1518309894,https://www.periodicomensaje.com/cantonales/4588-cafe-producido-por-380-familias-de-tilaran-abangares-y-monteverde-sera-carbono-neutral,http://www.laprensalibre.cr/Noticias/detalle/160735/1999/invierten-2911-millones-para-producir-cafe-sostenible,https://web.archive.org/web/www.periodicomensaje.com/cantonales/4588-cafe-producido-por-380-familias-de-tilaran-abangares-y-monteverde-sera-carbono-neutral,https://web.archive.org/web/www.laprensalibre.cr/Noticias/detalle/160735/1999/invierten-2911-millones-para-producir-cafe-sostenible,1.0,2.0,1.0,1.0,1.0,1.0,1.0
de,de,1483986830_1484031657,http://www.kn-online.de/Nachrichten/Panorama/Mann-nutzt-Pobacken-fuer-Raketenabschuss-das-geht-richtig-schief,https://www.idowa.de/inhalt.pi-straubing-gerangel-vor-lokal.af4356f9-2ffb-45aa-bd6b-58a200ceca32.html,https://web.archive.org/web/www.kn-online.de/Nachrichten/Panorama/Mann-nutzt-Pobacken-fuer-Raketenabschuss-das-geht-richtig-schief,https://web.archive.org/web/www.idowa.de/inhalt.pi-straubing-gerangel-vor-lokal.af4356f9-2ffb-45aa-bd6b-58a200ceca32.html,3.3333333333333335,4.0,1.0,4.0,4.0,1.0,1.6666666666666667
de,de,1488972531_1583593327,https://www.sn.at/politik/innenpolitik/kurz-und-kogler-harmonieren-im-orf-doppelinterview-81691666,https://www.salzburg24.at/news/oesterreich/oesterreich-bundesregierung-spendet-monatsgehaelter-86496796,https://web.archive.org/web/www.sn.at/politik/innenpolitik/kurz-und-kogler-harmonieren-im-orf-doppelinterview-81691666,https://web.archive.org/web/www.salzburg24.at/news/oesterreich/oesterreich-bundesregierung-spendet-monatsgehaelter-86496796,1.0,2.0,4.0,4.0,3.0,1.0,1.0
es,es,1504077800_1504218181,https://www.elcomercio.com/actualidad/ecuador-revision-procedimientos-cidh-paro.html,https://ww2.elmercurio.com.ec/2020/01/24/gobierno-considera-parcial-y-poco-objetivo-informe-de-cidh-sobre-protestas/,https://web.archive.org/web/www.elcomercio.com/actualidad/ecuador-revision-procedimientos-cidh-paro.html,https://web.archive.org/web/ww2.elmercurio.com.ec/2020/01/24/gobierno-considera-parcial-y-poco-objetivo-informe-de-cidh-sobre-protestas/,1.0,2.0,1.0,2.0,2.0,2.0,1.0
en,en,1484189463_1484343558,https://www.seacoastonline.com/news/20191231/nh-man-submitted-nearly-111k-in-false-medicaid-claims?rssfeed=true,https://boston.cbslocal.com/2019/12/31/norovirus-contributed-restaurant-patron-death-puritan-backroom-manchester-nh/,https://web.archive.org/web/www.seacoastonline.com/news/20191231/nh-man-submitted-nearly-111k-in-false-medicaid-claims?rssfeed=true,https://web.archive.org/web/boston.cbslocal.com/2019/12/31/norovirus-contributed-restaurant-patron-death-puritan-backroom-manchester-nh/,1.0,4.0,1.0,3.0,4.0,1.0,1.3333333333333333
de,de,1556344760_1570238539,https://www.stern.de/news/regierung-sagt-schnelle-hilfe-fuer-selbststaendige-und-freiberufler-zu--9193806.html?utm_campaign=tag-im-ueberblick&utm_medium=rssfeed&utm_source=standard,https://www.stern.de/news/bund-garantiert-zu-100-prozent-kredite-kleiner-und-mittlerer-unternehmen-9213452.html?utm_campaign=alle&utm_medium=rss-feed&utm_source=standard,https://web.archive.org/web/www.stern.de/news/regierung-sagt-schnelle-hilfe-fuer-selbststaendige-und-freiberufler-zu--9193806.html?utm_campaign=tag-im-ueberblick&utm_medium=rssfeed&utm_source=standard,https://web.archive.org/web/www.stern.de/news/bund-garantiert-zu-100-prozent-kredite-kleiner-und-mittlerer-unternehmen-9213452.html?utm_campaign=alle&utm_medium=rss-feed&utm_source=standard,1.0,2.0,2.0,3.0,2.0,1.0,1.0
en,en,1484013284_1484098278,https://www.tampabay.com/florida-politics/buzz/2019/12/31/cuba-under-maximum-pressure-by-trump-in-2020/,https://www.telesurenglish.net/news/61-Years-Strong-Cubas-Revolution-Lives-On-Despite-Blockade-20191231-0018.html,https://web.archive.org/web/www.tampabay.com/florida-politics/buzz/2019/12/31/cuba-under-maximum-pressure-by-trump-in-2020/,https://web.archive.org/web/www.telesurenglish.net/news/61-Years-Strong-Cubas-Revolution-Lives-On-Despite-Blockade-20191231-0018.html,1.0,2.3333333333333335,2.6666666666666665,2.6666666666666665,2.3333333333333335,1.6666666666666667,3.0
tr,tr,1511647085_1522644345,https://www.mynet.com/telefonla-arayip-70-yasindaki-adami-16-bin-tl-dolandirdilar-110106453483,https://www.haberler.com/emanet-aldigi-otomobille-kaza-yapti-12924798-haberi/,https://web.archive.org/web/www.mynet.com/telefonla-arayip-70-yasindaki-adami-16-bin-tl-dolandirdilar-110106453483,https://web.archive.org/web/www.haberler.com/emanet-aldigi-otomobille-kaza-yapti-12924798-haberi/,2.0,4.0,2.0,4.0,4.0,2.0,1.0
en,en,1483803587_1483802385,http://www.nairaland.com/5608224/president-buharis-new-year-message,https://news.google.com/__i/rss/rd/articles/CBMiXmh0dHBzOi8vZGFpbHlwb3N0Lm5nLzIwMjAvMDEvMDEvMjAyMC1tZm0tZ28tb2x1a295YS1yZWxlYXNlcy1wcm9waGVzaWVzLWFib3V0LW5pZ2VyaWEtbGVhZGVycy_SAWJodHRwczovL2RhaWx5cG9zdC5uZy8yMDIwLzAxLzAxLzIwMjAtbWZtLWdvLW9sdWtveWEtcmVsZWFzZXMtcHJvcGhlc2llcy1hYm91dC1uaWdlcmlhLWxlYWRlcnMvYW1wLw?oc=5,https://web.archive.org/web/www.nairaland.com/5608224/president-buharis-new-year-message,https://web.archive.org/web/news.google.com/__i/rss/rd/articles/CBMiXmh0dHBzOi8vZGFpbHlwb3N0Lm5nLzIwMjAvMDEvMDEvMjAyMC1tZm0tZ28tb2x1a295YS1yZWxlYXNlcy1wcm9waGVzaWVzLWFib3V0LW5pZ2VyaWEtbGVhZGVycy_SAWJodHRwczovL2RhaWx5cG9zdC5uZy8yMDIwLzAxLzAxLzIwMjAtbWZtLWdvLW9sdWtveWEtcmVsZWFzZXMtcHJvcGhlc2llcy1hYm91dC1uaWdlcmlhLWxlYWRlcnMvYW1wLw?oc=5,1.3333333333333333,2.6666666666666665,1.0,2.6666666666666665,2.0,2.3333333333333335,2.6666666666666665
en,en,1484188293_1483916862,https://www.nwherald.com/2019/12/31/firefighters-net-double-last-years-donations-to-mchenry-county-salvation-army-campaign/af0x02y/,https://www.chad.co.uk/news/opinion/this-will-be-another-big-year-for-ashfield-council-1-10175229,https://web.archive.org/web/www.nwherald.com/2019/12/31/firefighters-net-double-last-years-donations-to-mchenry-county-salvation-army-campaign/af0x02y/,https://web.archive.org/web/www.chad.co.uk/news/opinion/this-will-be-another-big-year-for-ashfield-council-1-10175229,4.0,4.0,2.3333333333333335,3.3333333333333335,4.0,4.0,1.6666666666666667
es,es,1484119617_1484039413,https://hondudiario.com/2020/01/01/iglesia-catolica-augura-un-2020-distinto-y-pide-un-alto-a-la-violencia/,https://hondudiario.com/2020/01/01/dos-varoncitos-los-primeros-en-llegar-a-honduras-en-2020/,https://web.archive.org/web/hondudiario.com/2020/01/01/iglesia-catolica-augura-un-2020-distinto-y-pide-un-alto-a-la-violencia/,https://web.archive.org/web/hondudiario.com/2020/01/01/dos-varoncitos-los-primeros-en-llegar-a-honduras-en-2020/,1.0,4.0,1.0,4.0,4.0,1.0,1.5
pl,pl,1562368337_1563216958,https://wiadomosci.onet.pl/kraj/koronawirus-w-polsce-nowe-dane-nt-akcji-lot-do-domu/9dy5pt7,"https://fakty.interia.pl/raporty/raport-koronawirus-chiny/aktualnosci/news-koronawirus-250-tys-osob-wrocilo-z-zagranicy-dzieki-lotom-ue,nId,4411744",https://web.archive.org/web/wiadomosci.onet.pl/kraj/koronawirus-w-polsce-nowe-dane-nt-akcji-lot-do-domu/9dy5pt7,"https://web.archive.org/web/fakty.interia.pl/raporty/raport-koronawirus-chiny/aktualnosci/news-koronawirus-250-tys-osob-wrocilo-z-zagranicy-dzieki-lotom-ue,nId,4411744",1.0,1.0,1.0,1.0,1.0,2.0,1.0
